Device,Connector,Led,X,Y,Z,line,Type
0,0,0,5,50,1,0,0
0,0,1,5,53,1,0,0
0,0,2,5,56,1,0,0
0,0,3,5,59,1,0,0
0,0,4,5,62,1,0,0
0,0,5,5,65,1,0,0
0,0,6,5,68,1,0,0
0,0,7,5,71,1,0,0
0,0,8,5,74,1,0,0
0,0,9,5,77,1,0,0
0,0,10,5,80,1,0,0
0,0,11,5,83,1,0,0
0,0,12,5,86,1,0,0
0,0,13,5,89,1,0,0
0,0,14,5,92,1,0,0
0,0,15,5,95,1,0,0
0,0,16,5,98,1,0,0
0,0,17,5,101,1,0,0
0,0,18,5,104,1,0,0
0,0,19,5,107,1,0,0
0,0,20,5,110,1,0,0
0,0,21,5,113,1,0,0
0,0,22,5,116,1,0,0
0,0,23,5,119,1,0,0
0,0,24,5,122,1,0,0
0,0,25,5,125,1,0,0
0,0,26,5,128,1,0,0
0,0,27,5,131,1,0,0
0,0,28,5,134,1,0,0
0,0,29,5,137,1,0,0
0,0,30,5,140,1,0,0
0,0,31,5,143,1,0,0
0,0,32,5,146,1,0,0
0,0,33,5,149,1,0,0
0,0,34,5,152,1,0,0
0,0,35,5,155,1,0,0
0,0,36,5,158,1,0,0
0,0,37,5,161,1,0,0
0,0,38,5,164,1,0,0
0,0,39,5,167,1,0,0
0,0,40,5,170,1,0,0
0,0,41,5,173,1,0,0
0,0,42,5,176,1,0,0
0,0,43,5,179,1,0,0
0,0,44,5,182,1,0,0
0,0,45,5,185,1,0,0
0,0,46,5,188,1,0,0
0,0,47,5,191,1,0,0
0,0,48,5,194,1,0,0
0,0,49,5,197,1,0,0
0,0,50,5,200,1,0,0
0,0,51,5,203,1,0,0
0,0,52,5,206,1,0,0
0,0,53,5,209,1,0,0
0,0,54,5,212,1,0,0
0,0,55,5,215,1,0,0
0,0,56,5,218,1,0,0
0,0,57,5,221,1,0,0
0,0,58,5,224,1,0,0
0,0,59,5,227,1,0,0
0,0,60,5,230,1,0,0
0,0,61,5,233,1,0,0
0,0,62,5,236,1,0,0
0,0,63,5,239,1,0,0
0,0,64,5,242,1,0,0
0,0,65,5,245,1,0,0
0,0,66,5,248,1,0,0
0,0,67,5,251,1,0,0
0,0,68,5,254,1,0,0
0,0,69,5,257,1,0,0
0,0,70,5,260,1,0,0
0,0,71,5,263,1,0,0
0,0,72,5,266,1,0,0
0,0,73,5,269,1,0,0
0,0,74,5,272,1,0,0
0,0,75,5,275,1,0,0
0,0,76,5,278,1,0,0
0,0,77,5,281,1,0,0
0,0,78,5,284,1,0,0
0,0,79,5,287,1,0,0
0,0,80,5,290,1,0,0
0,0,81,5,293,1,0,0
0,0,82,5,296,1,0,0
0,0,83,5,299,1,0,0
0,0,84,5,302,1,0,0
0,0,85,5,305,1,0,0
0,0,86,5,308,1,0,0
0,0,87,5,311,1,0,0
0,0,88,5,314,1,0,0
0,0,89,5,317,1,0,0
0,0,90,5,320,1,0,0
0,0,91,5,323,1,0,0
0,0,92,5,326,1,0,0
0,0,93,5,329,1,0,0
0,0,94,5,332,1,0,0
0,0,95,5,335,1,0,0
0,0,96,5,338,1,0,0
0,0,97,5,341,1,0,0
0,0,98,5,344,1,0,0
0,0,99,5,347,1,0,0
0,0,100,5,350,1,0,0
0,0,101,5,353,1,0,0
0,0,102,5,356,1,0,0
0,0,103,5,359,1,0,0
0,0,104,5,362,1,0,0
0,0,105,5,365,1,0,0
0,0,106,5,368,1,0,0
0,0,107,5,371,1,0,0
0,0,108,5,374,1,0,0
0,0,109,5,377,1,0,0
0,0,110,5,380,1,0,0
0,0,111,5,383,1,0,0
0,0,112,5,386,1,0,0
0,0,113,5,389,1,0,0
0,0,114,5,392,1,0,0
0,0,115,5,395,1,0,0
0,0,116,5,398,1,0,0
0,0,117,5,401,1,0,0
0,0,118,5,404,1,0,0
0,0,119,5,407,1,0,0
0,1,0,5,50,1,1,0
0,1,1,5,53,1,1,0
0,1,2,5,56,1,1,0
0,1,3,5,59,1,1,0
0,1,4,5,62,1,1,0
0,1,5,5,65,1,1,0
0,1,6,5,68,1,1,0
0,1,7,5,71,1,1,0
0,1,8,5,74,1,1,0
0,1,9,5,77,1,1,0
0,1,10,5,80,1,1,0
0,1,11,5,83,1,1,0
0,1,12,5,86,1,1,0
0,1,13,5,89,1,1,0
0,1,14,5,92,1,1,0
0,1,15,5,95,1,1,0
0,1,16,5,98,1,1,0
0,1,17,5,101,1,1,0
0,1,18,5,104,1,1,0
0,1,19,5,107,1,1,0
0,1,20,5,110,1,1,0
0,1,21,5,113,1,1,0
0,1,22,5,116,1,1,0
0,1,23,5,119,1,1,0
0,1,24,5,122,1,1,0
0,1,25,5,125,1,1,0
0,1,26,5,128,1,1,0
0,1,27,5,131,1,1,0
0,1,28,5,134,1,1,0
0,1,29,5,137,1,1,0
0,1,30,5,140,1,1,0
0,1,31,5,143,1,1,0
0,1,32,5,146,1,1,0
0,1,33,5,149,1,1,0
0,1,34,5,152,1,1,0
0,1,35,5,155,1,1,0
0,1,36,5,158,1,1,0
0,1,37,5,161,1,1,0
0,1,38,5,164,1,1,0
0,1,39,5,167,1,1,0
0,1,40,5,170,1,1,0
0,1,41,5,173,1,1,0
0,1,42,5,176,1,1,0
0,1,43,5,179,1,1,0
0,1,44,5,182,1,1,0
0,1,45,5,185,1,1,0
0,1,46,5,188,1,1,0
0,1,47,5,191,1,1,0
0,1,48,5,194,1,1,0
0,1,49,5,197,1,1,0
0,1,50,5,200,1,1,0
0,1,51,5,203,1,1,0
0,1,52,5,206,1,1,0
0,1,53,5,209,1,1,0
0,1,54,5,212,1,1,0
0,1,55,5,215,1,1,0
0,1,56,5,218,1,1,0
0,1,57,5,221,1,1,0
0,1,58,5,224,1,1,0
0,1,59,5,227,1,1,0
0,1,60,5,230,1,1,0
0,1,61,5,233,1,1,0
0,1,62,5,236,1,1,0
0,1,63,5,239,1,1,0
0,1,64,5,242,1,1,0
0,1,65,5,245,1,1,0
0,1,66,5,248,1,1,0
0,1,67,5,251,1,1,0
0,1,68,5,254,1,1,0
0,1,69,5,257,1,1,0
0,1,70,5,260,1,1,0
0,1,71,5,263,1,1,0
0,1,72,5,266,1,1,0
0,1,73,5,269,1,1,0
0,1,74,5,272,1,1,0
0,1,75,5,275,1,1,0
0,1,76,5,278,1,1,0
0,1,77,5,281,1,1,0
0,1,78,5,284,1,1,0
0,1,79,5,287,1,1,0
0,1,80,5,290,1,1,0
0,1,81,5,293,1,1,0
0,1,82,5,296,1,1,0
0,1,83,5,299,1,1,0
0,1,84,5,302,1,1,0
0,1,85,5,305,1,1,0
0,1,86,5,308,1,1,0
0,1,87,5,311,1,1,0
0,1,88,5,314,1,1,0
0,1,89,5,317,1,1,0
0,1,90,5,320,1,1,0
0,1,91,5,323,1,1,0
0,1,92,5,326,1,1,0
0,1,93,5,329,1,1,0
0,1,94,5,332,1,1,0
0,1,95,5,335,1,1,0
0,1,96,5,338,1,1,0
0,1,97,5,341,1,1,0
0,1,98,5,344,1,1,0
0,1,99,5,347,1,1,0
0,1,100,5,350,1,1,0
0,1,101,5,353,1,1,0
0,1,102,5,356,1,1,0
0,1,103,5,359,1,1,0
0,1,104,5,362,1,1,0
0,1,105,5,365,1,1,0
0,1,106,5,368,1,1,0
0,1,107,5,371,1,1,0
0,1,108,5,374,1,1,0
0,1,109,5,377,1,1,0
0,1,110,5,380,1,1,0
0,1,111,5,383,1,1,0
0,1,112,5,386,1,1,0
0,1,113,5,389,1,1,0
0,1,114,5,392,1,1,0
0,1,115,5,395,1,1,0
0,1,116,5,398,1,1,0
0,1,117,5,401,1,1,0
0,1,118,5,404,1,1,0
0,1,119,5,407,1,1,0
